AWD,N/A,0
B5A,N/A,8
BEI,N/A,16
BNR,N/A,24
BOSS,N/A,32
BSK,N/A,41
BYW6,N/A,49
BZL,N/A,58
CLA,N/A,66
CLS1,N/A,74
CON,N/A,83
D9C,N/A,91
DB1,N/A,99
DEQ,N/A,107
DEZ,N/A,115
DOU,N/A,123
DPB,N/A,131
DRW3,N/A,139
DUE,N/A,148
DWNI,N/A,156
DYK3,N/A,165
EPC,N/A,174
ESC3,N/A,182
FIE,N/A,191
FPE3,N/A,199
FRE3,N/A,208
G1A,N/A,217
GE1.,N/A,225
GFJ,N/A,234
GFK,N/A,242
GOZ2,N/A,250
GWI,N/A,259
GWI1,N/A,267
GXI,N/A,276
HBH3,N/A,284
HDD,N/A,293
HHFA,N/A,301
HNR1,N/A,310
HRX,N/A,319
HVM,N/A,327
IKB,N/A,335
IVG,N/A,343
IWK,N/A,351
JEN,N/A,359
JUN3,N/A,367
KAM,N/A,376
KCO,N/A,384
KD8,N/A,392
KPG,N/A,400
KRN,N/A,408
KRN3,N/A,416
KU2,N/A,425
LOE,N/A,433
LXS,N/A,441
MDN,N/A,449
MEO,N/A,457
NBG6,N/A,465
NDA,N/A,474
NOEJ,N/A,482
OSR,N/A,491
P1Z,N/A,499
PFD4,N/A,507
PSM,N/A,516
PUM,N/A,524
RAA,N/A,532
RHK,N/A,540
RHK3,N/A,548
RHM,N/A,557
RHM3,N/A,565
RRTL,N/A,574
SAZ,N/A,583
SDF,N/A,591
SIX2,N/A,599
SKB,N/A,608
SKYD,N/A,616
SNS,N/A,625
SOW4,N/A,633
SY1,N/A,642
SZG,N/A,650
SZU,N/A,658
TES,N/A,666
TGM,N/A,674
TLX,N/A,682
TUI1,N/A,690
USE,N/A,699
VOS,N/A,707
WAD3,N/A,715
WCA,N/A,724
WCH,N/A,732
WCM,N/A,740
WDO,N/A,748
ZIL2,N/A,756
ZPF,N/A,765
n/a,N/A,773
