20020618,SNS ,STINNES AG               
20020618,SOW4,SOFTWARE AG NA O.N.      
20020618,SRZ ,SCHWARZ PHARMA AG O.N.   
20020618,SZG ,SALZGITTER AG O.N.       
20020618,SZU ,SUEDZUCKER MA./OCHS. O.N.
20020618,TES ,TECIS HOLDING AG O.N.    
20020618,TNH ,TECHEM O.N.              
20020618,USE ,BEATE UHSE AG            
20020618,VOS ,VOSSLOH AG O.N.          
20020618,WAD3,WELLA AG VORZ.           
20020618,WCA ,WCM BET.-U.G. O.N.       
20020618,WDO ,WEDECO AG O.N.           
20020618,ZPF ,ZAPF CREATION AG O.N.    
20021217,AGV,AGIV REAL ESTATE O.N.    
20021217,AMB2,AMB GENERALI HOLDING AG  
20021217,ARL,AAREAL BANK AG           
20021217,AVA ,AVA AG O.N.              
20021217,AWD ,AWD HOLDING AG O.N.      
20021217,BEI ,BEIERSDORF AG O.N.       
20021217,BOS3,HUGO BOSS AG VZO O.N.    
20021217,BSK ,BHW HOLDING AG O.N.      
20021217,BUD ,BUDERUS AG O.N.          
20021217,BZL ,BERU AG O.N.             
20021217,CON ,CONTINENTAL AG O.N.      
20021217,CZZ ,CELANESE AG O.N.         
20021217,DDE ,DIS DEUT.IND.SERV.O.N.   
20021217,DGX ,DEGUSSA AG O.N.          
20021217,DOU ,DOUGLAS HOLDING O.N.     
20021217,DRW3,DRAEGERWERK VORZ.A.O.N.  
20021217,DUE ,DUERR AG O.N.            
20021217,DYK3,DYCKERHOFF VZO O.N.      
20021217,EPC ,EPCOS AG NA O.N.         
20021217,ESC ,ESCADA AG O.N.           
20021217,FIE ,FIELMANN AG O.N.         
20021217,FRA ,FRAPORT AG FFM.AIRPORT   
20021217,FRE3,FRESENIUS AG VZ O.ST O.N.
20021217,GBF ,BILFINGER BERGER AG      
20021217,GEH ,GEHE AG O.N.             
20021217,GFK ,GFK AG O.N.              
20021217,GIL ,GILDEMEISTER AG O.N.     
20021217,GWI ,GERRY WEBER INTERNAT.O.N.
20021217,HBH3,HORNBACH HOLD.VZO O.N.   
20021217,HDD ,HEIDELBERG.DRUCKMA.O.N.  
20021217,HEI ,HEIDELBERGCEMENT ST O.N. 
20021217,HNR1,HANN.RUECKVER.AG NA O.N. 
20021217,HOT ,HOCHTIEF AG              
20021217,IKB ,IKB DT.INDUSTRIEBANK O.N.
20021217,INH ,INDUS HOLDING AG         
20021217,IVG ,IVG IMMOBILIEN AG O.N.   
20021217,IWK ,IWKA AG O.N.             
20021217,JEN ,JENOPTIK AG O.N.         
20021217,JUN3,JUNGHEINRICH AG O.N.VZO  
20021217,KAR ,KARSTADT QUELLE AG O.N.  
20021217,KLK ,KLOECKNER-WERKE O.N.     
20021217,KPG ,KOLBENSCHMIDT PIERB.O.N. 
20021217,KRN3,KRONES AG VZO O.N.       
20021217,LEO ,LEONI AG NA O.N.         
20021217,LOE ,LOEWE AG O.N.            
20021217,MAV ,MANNHEIMER AG HOL.O.N.VNA
20021217,MGT ,MG TECHNOLOGIES AG       
20021217,MRK ,MERCK KGAA O.N.          
20021217,NDA ,NORDDT.AFFINERIE O.N.    
20021217,PHO ,PHOENIX AG O.N.          
20021217,PSM ,PROSIEBENSAT.1 O.N.VZO   
20021217,PUM ,PUMA AG                  
20021217,RHK3,RHOEN-KLINIKUM VZO O.N.  
20021217,RHM3,RHEINMETALL AG VZ.       
20021217,SAZ ,STADA ARZNEIMITT.VNA O.N.
20021217,SDF ,K+S AG O.N.              
20021217,SGL ,SGL CARBON AG O.N.       
20021217,SIX2,SIXT AG ST O.N.          
20021217,SKB ,KOENIG + BAUER AG ST O.N.
20021217,SOW4,SOFTWARE AG NA O.N.      
20021217,SRZ ,SCHWARZ PHARMA AG O.N.   
20021217,SZG ,SALZGITTER AG O.N.       
20021217,SZU ,SUEDZUCKER MA./OCHS. O.N.
20021217,TNH ,TECHEM O.N.              
20021217,USE ,BEATE UHSE AG            
20021217,VOS ,VOSSLOH AG O.N.          
20021217,WAD3,WELLA AG VORZ.           
20021217,WCM ,WCM BET.-U.G. O.N.       
20021217,WDO ,WEDECO AG O.N.           
20021217,ZPF ,ZAPF CREATION AG O.N.    
20050919,ARL,AAREAL BANK AG
20050919,AMB2,AMB GENERALI HOLDING AG
20050919,AWD,AWD HOLDING AG O.N.
20050919,BEI,BEIERSDORF AG O.N.
20050919,GBF,BILFINGER BERGER AG
20050919,CLS,CELESIO AG O.N.
20050919,DGX,DEGUSSA AG O.N.
20050919,DEP,DEPFA BANK PLC     EO 0.3
20050919,DEQ,DEUTSCHE EUROSHOP AG O.N.
20050919,DPB,DEUTSCHE POSTBANK AG
20050919,DOU,DOUGLAS HOLDING O.N.
20050919,EAD,EUROP.AERON.DEF.+SP. EADS
20050919,FIE,FIELMANN AG O.N.
20050919,FRA,FRAPORT AG FFM.AIRPORT
20050919,FRE3,FRESENIUS AG VZ O.ST O.N.
20050919,G1A,GEA GROUP AG
20050919,HNR1,HANN.RUECKVER.AG NA O.N.
20050919,HDD,HEIDELBERG.DRUCKMA.O.N.
20050919,HEI,HEIDELBERGCEMENT AG O.N.
20050919,HOT,HOCHTIEF AG
20050919,BOS3,HUGO BOSS AG VZO O.N.
20050919,HRX,HYPO REAL ESTATE HLDG ST
20050919,IKB,IKB DT.INDUSTRIEBANK O.N.
20050919,IVG,IVG IMMOBILIEN AG O.N.
20050919,IWK,IWKA AG O.N.
20050919,SDF,K+S AG O.N.
20050919,KAR,KARSTADT QUELLE AG O.N.
20050919,KRN,KRONES AG O.N.
20050919,LXS,LANXESS AG
20050919,LEO,LEONI AG NA O.N.
20050919,MDN,MEDION AG O.N.
20050919,MRK,MERCK KGAA O.N.
20050919,MLP,MLP AG
20050919,MPC,MPC MUENCH.PET.CAP.O.N.
20050919,MTX,MTU AERO ENGINES NA O.N.
20050919,NDA,NORDDT.AFFINERIE O.N.
20050919,PFD4,PFLEIDERER AG
20050919,PRE,PREMIERE NA O.N.
20050919,PSM,PROSIEBENSAT.1 O.N.VZO
20050919,PUM,PUMA AG
20050919,RHM,RHEINMETALL AG
20050919,RHK,RHOEN-KLINIKUM O.N.
20050919,SZG,SALZGITTER AG O.N.
20050919,SRZ,SCHWARZ PHARMA AG O.N.
20050919,SGL,SGL CARBON AG O.N.
20050919,SAZ,STADA ARZNEIMITT.VNA O.N.
20050919,SZU,SUEDZUCKER MA./OCHS. O.N.
20050919,TNH,TECHEM O.N.
20050919,VOS,VOSSLOH AG O.N.
20050919,WIN,WINCOR NIXDORF O.N.
20070618,ARL,AAREAL BANK AG
20070618,ALT,ALTANA AG O.N.
20070618,AMB2,AMB GENERALI HOLDING AG
20070618,AWD,AWD HOLDING AG O.N.
